,City,Latitude,Longitude,Temperature,Humidity (%),Cloudiness (%),Wind Speed (mph)
0,Avarua,-21.21,-159.78,69.8,73,75,3.36
1,Lagoa,37.14,-8.45,78.8,61,0,9.17
2,Kapaa,22.08,-159.32,78.08,93,1,10.29
3,Geraldton,49.72,-86.95,26.6,86,20,6.93
4,Solnechnyy,50.72,136.64,54.88,50,64,7.43
5,Raudeberg,61.99,5.14,47.46,93,75,33.33
6,Rikitea,-23.12,-134.97,71.62,100,36,4.74
7,Ouallam,14.32,2.08,96.55,55,24,4.74
8,San Andres,13.32,122.68,84.4,98,32,8.55
9,Landerneau,48.45,-4.26,62.91,48,0,10.29
10,Hasaki,35.73,140.83,64.4,100,90,9.17
11,Maragogi,-9.01,-35.22,80.62,92,24,7.31
12,Hermanus,-34.42,19.24,72.07,35,0,3.18
13,Cape Town,-33.93,18.42,69.8,40,0,6.93
14,Douentza,15.01,-2.95,88.9,71,56,6.42
15,Ushuaia,-54.81,-68.31,33.8,100,90,10.29
16,Blackwater,51.33,-0.78,60.19,48,20,2.24
17,Mount Gambier,-37.83,140.78,49.3,81,68,3.62
18,Hilo,19.71,-155.08,65.7,90,40,5.82
19,Ribeira Grande,38.52,-28.7,75.2,64,20,21.92
20,Msanga,-6.04,36.03,84.2,35,0,11.41
21,East London,-33.02,27.91,66.2,59,0,13.87
22,Kununurra,-15.77,128.74,78.8,57,0,1.12
23,Atuona,-9.8,-139.03,78.46,100,56,8.55
24,Saint George,39.45,22.34,62.6,72,75,11.41
25,Palmer,-34.85,139.16,50.0,66,0,6.93
26,Saint-Philippe,45.36,-73.48,51.37,93,75,5.82
27,Kaitangata,-46.28,169.85,46.6,98,92,5.97
28,Cayenne,4.94,-52.33,84.2,74,75,6.93
29,Sao Filipe,14.9,-24.5,79.0,94,24,11.79
30,Hambantota,6.12,81.12,79.27,100,92,8.77
31,Namibe,-15.19,12.15,70.0,97,0,10.33
32,Belyy Yar,53.6,91.39,53.6,93,80,6.98
33,Namatanai,-3.66,152.44,83.05,97,8,12.35
34,Madaba,31.72,35.79,95.0,14,0,4.07
35,Severo-Kurilsk,50.68,156.12,43.36,100,24,7.76
36,Paramirim,-13.44,-42.24,78.01,54,0,4.85
37,Vestmanna,62.16,-7.17,46.4,81,88,24.16
38,Punta Arenas,-53.16,-70.91,36.55,80,20,10.29
39,Kasungu,-13.04,33.48,87.82,22,0,12.46
40,Yellowknife,62.45,-114.38,30.2,68,75,16.11
41,Adrar,27.87,-0.29,86.0,28,0,9.17
42,Codrington,-28.95,153.24,62.26,79,48,4.18
43,Provideniya,64.42,-173.23,49.3,85,92,24.99
44,Sungaipenuh,-2.08,101.38,71.62,80,76,0.6
45,Dergachi,51.24,48.77,65.77,55,0,13.8
46,Bredasdorp,-34.53,20.04,68.0,40,0,16.11
47,Turtas,58.94,69.13,47.95,96,92,15.03
48,Airai,-8.93,125.41,71.62,66,0,1.39
49,Paita,-5.09,-81.11,64.6,90,76,5.64
50,Sola,62.78,29.36,42.8,81,75,3.36
51,Cidreira,-30.17,-50.22,72.79,84,0,16.26
52,Barrow,-38.31,-60.23,60.37,99,64,6.64
53,Kodiak,39.95,-94.76,46.94,89,90,5.82
54,Deshnok,27.8,73.34,93.49,31,0,7.87
55,Yulara,-25.24,130.99,77.0,20,12,13.87
56,Tilichiki,60.47,166.1,34.36,90,32,7.09
57,Zadonsk,52.39,38.93,50.0,93,90,4.47
58,Tongliao,43.61,122.27,44.89,87,0,7.65
59,Ponta do Sol,-20.63,-46.0,73.51,75,88,4.74
60,Butaritari,3.07,172.79,85.3,100,76,4.41
61,Erenhot,43.65,111.97,43.99,58,64,9.22
62,Arraial do Cabo,-22.97,-42.02,76.08,83,75,12.75
63,Port Elizabeth,39.31,-74.98,59.02,96,75,3.18
64,Makungu,-8.74,35.29,80.62,38,0,7.99
65,Sitka,37.17,-99.65,48.85,100,92,7.2
66,Qaanaaq,77.48,-69.36,20.5,100,76,5.75
67,Husavik,50.56,-96.99,27.97,100,0,7.09
68,Voskresenskoye,56.84,45.43,45.43,76,88,8.43
69,Williamsport,41.25,-77.0,51.85,96,90,5.82
70,Mahebourg,-20.41,57.7,75.2,73,40,8.05
71,Saint-Pierre,48.95,4.24,63.59,36,0,18.34
72,Albany,42.65,-73.75,54.14,93,90,4.18
73,Puerto Ayora,-0.74,-90.35,71.6,78,75,8.05
74,Tura,25.52,90.21,78.64,99,36,2.39
75,Jamestown,-33.21,138.6,42.55,66,0,6.31
76,Saldanha,41.42,-6.55,78.19,46,0,5.64
77,Mataura,-46.19,168.86,45.79,97,92,2.73
78,Iskateley,67.68,53.15,41.47,100,92,15.93
79,Sambava,-14.27,50.17,75.22,100,24,15.82
80,Mizdah,31.45,12.98,80.89,31,0,6.42
81,Havelock,34.88,-76.9,73.6,90,75,6.93
82,Nsanje,-16.92,35.26,93.67,37,64,6.53
83,Baturaja,-4.12,104.17,92.68,33,68,10.45
84,San Jose de Guanipa,8.89,-64.17,76.48,88,68,11.68
85,Ada,47.3,-96.52,31.64,80,1,8.05
86,Chuy,-33.69,-53.46,70.63,88,0,24.65
87,Mirabad,28.27,61.33,81.7,12,0,12.46
88,Slave Lake,55.28,-114.77,35.6,59,90,8.05
89,New Norfolk,-42.78,147.06,50.0,61,40,14.99
90,Mestia,43.04,42.73,47.95,68,56,0.94
91,Santa Ines,-0.82,-78.63,50.0,87,75,2.24
92,Alice Springs,-23.7,133.88,68.0,25,0,6.93
93,Kamenka,53.19,44.05,52.81,64,48,5.64
94,Busselton,-33.64,115.35,58.75,100,68,16.49
95,Thompson,55.74,-97.86,30.2,86,90,9.17
96,Beyneu,45.32,55.19,72.61,24,0,9.22
97,Port Blair,11.67,92.75,84.31,100,0,4.07
98,Luangwa,-15.62,30.4,98.44,19,0,12.68
99,Erzin,36.95,36.2,90.36,49,40,9.17
100,Wapakoneta,40.57,-84.19,48.43,100,20,3.36
101,Cherskiy,68.75,161.3,33.46,95,36,6.53
102,Luanda,-8.83,13.24,77.0,78,75,9.17
103,Turbat,26.0,63.05,101.95,14,0,7.43
104,Bluff,-23.58,149.07,72.07,51,8,10.0
105,Hutchinson,38.06,-97.93,50.68,89,90,6.93
106,Maniitsoq,65.42,-52.9,36.16,100,92,18.84
107,Yar-Sale,66.83,70.83,45.43,100,92,17.72
108,Hobart,-42.88,147.33,50.0,61,40,14.99
109,Saint Anthony,43.97,-111.68,46.51,12,1,5.82
110,Ngunguru,-35.62,174.5,55.51,100,0,3.4
111,Augusta,44.31,-69.78,50.79,100,40,5.19
112,Great Bend,38.36,-98.78,44.64,100,90,6.93
113,Ivanteyevka,55.97,37.92,46.87,70,40,11.18
114,Lompoc,34.64,-120.46,57.7,93,1,4.7
115,La Grande,45.32,-118.09,38.77,79,1,2.39
116,Nemuro,43.32,145.57,60.46,100,36,12.24
117,Constitucion,23.99,-104.67,56.5,98,92,3.96
118,Falun,60.61,15.63,50.0,61,92,17.22
119,Makakilo City,21.35,-158.09,76.84,100,90,6.64
120,Goianesia,-15.32,-49.12,86.29,45,8,8.55
121,Vaini,15.34,74.49,79.72,79,48,3.4
122,Norman Wells,65.28,-126.83,24.8,85,40,3.36
123,Krutikha,53.96,81.21,56.05,40,0,10.22
